Alcohol Type A Injuries,,
City,Alcohol Involved,Not Alcohol Involved
Abbeville,,3
Aberdeen,,8
Ackerman,,1
Alcorn State University,,1
Amory,,10
Baldwyn,,7
Bassfield,,3
Batesville,1,31
Bay Saint Louis,,12
Bay Springs,,2
Beaumont,,2
Belmont,,3
Belzoni,,1
Benton,,1
Bentonia,,1
Big Creek,,1
Biloxi,,22
Blue Springs,,1
Bogue Chitto,,3
Booneville,,8
Boyle,,1
Brandon,,21
Brookhaven,,22
Brooksville,,4
Bruce,,2
Burnsville,,1
Byhalia,,4
Byram,,10
Caledonia,,4
Calhoun City,,2
Canton,,14
Carriere,,6
Carthage,,13
Chalybeate,,3
Charleston,,2
Clara,,1
Clarksdale,1,13
Clermont Harbor,,1
Cleveland,,13
Clinton,,19
Coldwater,,5
Collins,,14
Columbia,,2
Columbus,1,26
Como,,6
Conehatta,,4
Corinth,,21
Courtland,,2
Crystal Springs,,5
D'Iberville,,5
Dekalb,,4
Derma,,4
Diamondhead,,1
Durant,,1
Ecru,,6
Eden,,1
Edwards,,4
Elliott,,5
Ellisville,,6
Ethel,,1
Eucutta,,2
Eupora,,1
Falkner,,1
Fernwood,,3
Florence,,5
Flowood,,16
Forest,,10
French Camp,,1
Fulton,,1
Gautier,,15
Gloster,,2
Gore Springs,,1
Greenville,1,22
Greenwood,,11
Greenwood Springs,,1
Grenada,,27
Gulfport,1,75
Guntown,,1
Hattiesburg,1,49
Hazlehurst,,9
Hermanville,,1
Hernando,,7
Hickory,,1
Holcomb,,6
Holly Bluff,,3
Holly Springs,,8
Horn Lake,,9
Houston,,3
Indianola,,2
Isola,,1
Itta Bena,,2
Iuka,,18
Jackson,5,201
Kilmichael,,3
Kiln,,6
Kosciusko,,11
Kossuth,,1
Lake Cormorant,,1
Laurel,,29
Leakesville,,2
Lexington,,7
Long Beach,,15
Lorman,,2
Louin,,1
Louisville,,7
Lucedale,,4
Lyon,,1
Macon,,27
Madison,,5
Magee,,20
Magnolia,,10
Marks,,1
Mathiston,,3
McComb,,21
McHenry,,1
McLain,,1
Mendenhall,,6
Meridian,,30
Merigold,,1
Michigan City,,1
Mississippi State,,2
Monticello,,4
Moorhead,,1
Morgan City,,2
Morton,,5
Moss,,1
Moss Point,,11
Mound Bayou,,2
Mount Olive,,5
Mount Pleasant,,2
Myrtle,,1
Natchez,1,18
Nesbit,,3
Neshoba,,1
Nettleton,,4
New Albany,,10
New Hebron,,1
Newton,,2
Oak Vale,,1
Oakland,,4
Ocean Springs,1,20
Olive Branch,,53
Oxford,,22
Pascagoula,,12
Pass Christian,,6
Pattison,,1
Pearl,,36
Pearlington,,2
Pelahatchie,,9
Perkinston,,3
Petal,,17
Philadelphia,,14
Philipp,,1
Picayune,,21
Pittsboro,,4
Plantersville,,1
Pleasant Grove,,1
Polkville,,1
Pontotoc,,13
Pope,,3
Poplarville,,8
Port Gibson,,6
Porterville,,1
Potts Camp,,1
Preston,,1
Pulaski,,1
Purvis,,1
Quitman,,2
Raleigh,,2
Raymond,,6
Red Banks,,2
Redwood,,1
Reform,,1
Richland,,6
Ridgeland,,12
Ripley,,8
Robinsonville,,10
Roxie,,1
Ruleville,,10
Rural Adams,,10
Rural Alcorn,,24
Rural Amite,,13
Rural Attala,,3
Rural Benton,,16
Rural Bolivar,,23
Rural Calhoun,,4
Rural Carroll,,10
Rural Chickasaw,,13
Rural Choctaw,,11
Rural Claiborne,,15
Rural Clarke,,9
Rural Clay,,7
Rural Coahoma,,10
Rural Copiah,,12
Rural Covington,,8
Rural DeSoto,,49
Rural Forrest,,15
Rural Franklin,,8
Rural George,,42
Rural Greene,,6
Rural Grenada,,24
Rural Hancock,,21
Rural Harrison,,25
Rural Hinds,,19
Rural Holmes,,11
Rural Humphreys,,7
Rural Itawamba,,22
Rural Jackson,,79
Rural Jasper,,18
Rural Jefferson,3,11
Rural Jefferson Davis,,5
Rural Jones,1,25
Rural Kemper,,9
Rural Lafayette,,14
Rural Lamar,3,22
Rural Lauderdale,,31
Rural Lawrence,,5
Rural Leake,,10
Rural Lee,,49
Rural Leflore,,6
Rural Lincoln,,14
Rural Lowndes,,34
Rural Madison,,39
Rural Marion,,20
Rural Marshall,,29
Rural Monroe,,29
Rural Montgomery,,4
Rural Neshoba,,26
Rural Newton,,23
Rural Noxubee,,10
Rural Oktibbeha,1,18
Rural Panola,,17
Rural Pearl River,,25
Rural Perry,,11
Rural Pike,1,20
Rural Pontotoc,,22
Rural Prentiss,,12
Rural Quitman,,2
Rural Rankin,,32
Rural Scott,,19
Rural Sharkey,,5
Rural Simpson,,21
Rural Smith,,6
Rural Stone,,6
Rural Sunflower,,21
Rural Tallahatchie,,10
Rural Tate,,20
Rural Tippah,,15
Rural Tishomingo,,14
Rural Tunica,,15
Rural Union,,26
Rural Walthall,,6
Rural Warren,,24
Rural Washington,,13
Rural Wayne,,3
Rural Webster,,9
Rural Wilkinson,,3
Rural Winston,,5
Rural Yalobusha,,1
Rural Yazoo,,13
Sallis,,2
Saltillo,,6
Sandersville,,1
Sarah,,1
Sardis,,12
Satartia,,1
Saucier,,9
Sebastopol,,1
Senatobia,,16
Shannon,,5
Shelby,,1
Sherman,,1
Shuqualak,,9
Sidon,,1
Silver Creek,,1
Soso,,2
Southaven,2,34
Starkville,1,21
Stewart,,2
Stringer,,2
Summit,,5
Sumrall,,5
Sylvarena,,1
Tchula,,1
Terry,,6
Thompson,,1
Tishomingo,,1
Toomsuba,,1
Town Of Walls,,1
Tupelo,,56
Tylertown,,1
Utica,,2
Vaiden,,4
Verona,1,5
Vicksburg,,11
Walnut,,2
Water Valley,,5
Waveland,,4
Waynesboro,,12
Wesson,,7
West,,3
West Point,,12
Wiggins,,10
Winona,,2
Woodland,,1
Woodville,,3
Yazoo City,,20
Zama,,1
