Alcohol Involved Fatalities
City      Fatalities
ABERDEEN           0
BATESVILLE         0
BAY SPRING         0
BELMONT            0
BILOXI             3
BOLTON             0
BOONEVILLE         0
BRANDON            0
BROOKHAVEN         1
BROOKSVILL         0
CALHOUN CI         0
CANTON             0
CARTHAGE           0
CLARKSDALE         0
CLEVELAND          0
CLINTON            0
COLUMBUS           0
CORINTH            0
D'IBERVILL         0
Did not oc       122
DURANT             0
FLORENCE           0
GLOSTER            0
GREENVILLE         0
GREENWOOD          0
GRENADA            0
GULFPORT           2
HATTIESBUR         1
HERNANDO           0
HOLLY SPRI         1
INDIANOLA          0
JACKSON           13
LAUREL             0
LEARNED            0
LELAND             0
LEXINGTON          0
LONG BEACH         0
LUCEDALE           0
MACON              0
MADISON            1
MAGEE              0
MAGNOLIA           0
MCCOMB             0
MENDENHALL         0
MERIDIAN           4
MONTICELLO         0
MORTON             1
MOSS POINT         1
MOUND BAYO         0
NATCHEZ            0
OLIVE BRAN         0
Other              1
OXFORD             0
PASCAGOULA         1
PASS CHRIS         0
PEARL              0
PICAYUNE           0
RAYMOND            0
RIDGELAND          0
SALTILLO           0
SENATOBIA          0
SHANNON            0
SOUTHAVEN          2
STARKVILLE         0
SUMMIT             0
TCHULA             1
TERRY              0
TUPELO             0
UTICA              0
VARDAMAN           0
WATER VALL         0
WESSON             0
WIGGINS            0
WINONA             0
WOODVILLE          0
YAZOO CITY         1
